164,137,1
164,105,2
164,134,3
165,185,1
165,9,2
165,27,3
166,3,1
166,158,2
166,9,3
167,17,1
167,24,2
167,105,3
168,52,1
168,85,2
168,9,3
169,139,1
169,9,2
169,11,3
17,24,1
17,105,2
17,110,3
170,58,1
170,124,2
170,1,3
171,158,1
171,9,2
171,27,3
172,52,1
172,9,2
172,26,3
173,1,1
173,58,2
173,105,3
174,198,1
174,105,2
174,124,3
175,32,1
175,97,2
175,188,3
176,112,1
176,25,2
176,183,3
177,17,1
177,24,2
177,105,3
178,97,1
178,188,2
178,48,3
179,34,1
179,128,2
179,136,3
18,85,1
18,9,2
18,11,3
180,9,1
180,27,2
180,46,3
181,11,1
181,103,2
181,12,3
182,25,1
182,117,2
182,161,3
183,9,1
183,11,2
183,18,3
184,24,1
184,105,2
184,110,3
185,165,1
185,124,2
185,9,3
186,26,1
186,32,2
186,105,3
187,52,1
187,9,2
187,27,3
188,97,1
188,48,2
188,175,3
189,149,1
189,28,2
189,52,3
19,9,1
19,11,2
19,18,3
190,9,1
190,27,2
190,46,3
191,12,1
191,32,2
191,140,3
192,7,1
192,122,2
192,182,3
193,52,1
193,9,2
193,27,3
194,9,1
194,27,2
194,46,3
195,105,1
195,140,2
195,9,3
196,83,1
196,22,2
196,51,3
197,87,1
197,91,2
197,30,3
198,174,1
198,69,2
198,94,3
199,9,1
199,26,2
199,27,3
2,15,1
2,113,2
2,58,3
20,31,1
20,45,2
20,128,3
200,15,1
200,58,2
200,124,3
21,34,1
21,131,2
21,143,3
22,83,1
22,51,2
22,110,3
23,9,1
23,26,2
23,27,3
24,17,1
24,105,2
24,110,3
25,11,1
25,69,2
25,75,3
26,186,1
26,9,2
26,27,3
27,9,1
27,46,2
27,153,3
28,52,1
28,105,2
28,9,3
29,124,1
29,9,2
29,15,3
3,158,1
3,9,2
3,26,3
30,9,1
30,27,2
30,46,3
31,144,1
31,149,2
31,6,3
32,175,1
32,140,2
32,186,3
33,86,1
33,98,2
33,3,3
34,143,1
34,124,2
34,179,3
35,97,1
35,105,2
35,155,3
36,24,1
36,96,2
36,105,3
37,117,1
37,161,2
37,7,3
38,93,1
38,9,2
38,27,3
39,34,1
39,143,2
39,124,3
4,34,1
4,143,2
4,124,3
40,25,1
40,117,2
40,161,3
41,9,1
41,27,2
41,46,3
42,24,1
42,110,2
42,9,3
43,34,1
43,131,2
43,143,3
44,87,1
44,91,2
44,124,3
45,27,1
45,122,2
45,148,3
46,9,1
46,27,2
46,153,3
47,154,1
47,9,2
47,27,3
48,97,1
48,188,2
48,175,3
49,42,1
49,47,2
49,99,3
5,9,1
5,27,2
5,46,3
50,110,1
50,9,2
50,11,3
51,46,1
51,83,2
51,22,3
52,123,1
52,85,2
52,168,3
53,117,1
53,161,2
53,7,3
54,84,1
54,9,2
54,27,3
55,9,1
55,27,2
55,46,3
56,9,1
56,27,2
56,46,3
57,122,1
57,149,2
57,31,3
58,15,1
58,105,2
58,124,3
59,92,1
59,144,2
59,32,3
6,159,1
6,25,2
6,69,3
60,128,1
60,110,2
60,124,3
61,105,1
61,177,2
61,180,3
62,124,1
62,9,2
62,15,3
63,9,1
63,26,2
63,27,3
64,172,1
64,28,2
64,52,3
65,105,1
65,9,2
65,27,3
66,83,1
66,22,2
66,51,3
67,149,1
67,6,2
67,24,3
68,25,1
68,11,2
68,69,3
69,103,1
69,135,2
69,11,3
7,117,1
7,161,2
7,37,3
70,96,1
70,6,2
70,24,3
71,9,1
71,27,2
71,34,3
72,85,1
72,9,2
72,18,3
73,12,1
73,25,2
73,116,3
74,99,1
74,124,2
74,134,3
75,25,1
75,159,2
75,11,3
76,120,1
76,137,2
76,9,3
77,149,1
77,82,2
77,105,3
78,162,1
78,9,2
78,26,3
79,69,1
79,6,2
79,14,3
8,24,1
8,28,2
8,52,3
80,14,1
80,79,2
80,25,3
81,9,1
81,27,2
81,46,3
82,9,1
82,105,2
82,110,3
83,22,1
83,51,2
83,110,3
84,54,1
84,9,2
84,27,3
85,52,1
85,168,2
85,9,3
86,98,1
86,3,2
86,104,3
87,91,1
87,44,2
87,124,3
88,188,1
88,9,2
88,11,3
89,128,1
89,110,2
89,124,3
9,110,1
9,27,2
9,46,3
90,50,1
90,17,2
90,105,3
91,87,1
91,44,2
91,124,3
92,9,1
92,26,2
92,27,3
93,117,1
93,161,2
93,7,3
94,97,1
94,188,2
94,35,3
95,9,1
95,26,2
95,27,3
96,70,1
96,6,2
96,24,3
97,48,1
97,188,2
97,175,3
98,9,1
98,86,2
98,3,3
99,74,1
99,107,2
99,124,3
